Key,Category,Original_ZH,Original_EN,Current_ZH,Current_EN
fan.earnings_history,fan,累计收益历史,Total Earnings History,累计收益历史,Total Earnings History
fan.estimated_rebate,fan,预计返还,Est. Rebate,预计返还,Est. Rebate
fan.fan_rate,fan,粉丝消费奖励比例,Fan Rate,粉丝消费奖励比例,Fan Rate
fan.fan_reward,fan,粉丝消费奖励,Fan Reward,粉丝消费奖励,Fan Reward
fan.fastest_prefix,fan,最近,Fastest,最近,Fastest
fan.fastest_suffix,fan,天后签满,days to complete,天后签满,days to complete
fan.influencer_label,fan,达人申请,Influencer,达人申请,Influencer
fan.invite_rule_note,fan,* 拼团免单结算需等待 3 位受邀人签收订单并确认无退货后自动返还。,* Reward settlement requires 3 invitees to confirm receipt and pass the return period.,* 拼团免单结算需等待 3 位受邀人签收订单并确认无退货后自动返还。,* Reward settlement requires 3 invitees to confirm receipt and pass the return period.
fan.leaderboard_label,fan,排行榜,Leaderboard,排行榜,Leaderboard
fan.milestone_reward,fan,本期完签奖励:,Milestone Reward:,本期完签奖励:,Milestone Reward:
fan.negotiable,fan,双方协商,Negotiable,双方协商,Negotiable
fan.phase,fan,期数:,Phase:,期数:,Phase:
fan.progress_title,fan,本期签到进度,Current Phase Progress,本期签到进度,Current Phase Progress
fan.rank_prefix,fan,当前排名 #,Rank #,当前排名 #,Rank #
fan.records,fan,条记录,records,条记录,records
fan.referral_copied,fan,推荐码已复制!,Referral Code Copied!,推荐码已复制!,Referral Code Copied!
fan.referral_rate,fan,分销奖励比例,Referral Rate,分销奖励比例,Referral Rate
fan.referral_reward,fan,商品分销奖励,Referral Reward,商品分销奖励,Referral Reward
fan.reward_rates,fan,我的奖励比例,My Reward Rates,我的奖励比例,My Reward Rates
fan.rule_details,fan,规则详情,Rule Details,规则详情,Rule Details
fan.rule_doc,fan,规则说明文档,Rule Document,规则说明文档,Rule Document
fan.syncing_suffix,fan,个订单同步中,orders syncing,个订单同步中,orders syncing
fan.tier_name,fan,等级,Tier,等级,Tier
fan.view_details,fan,查看各订单签到明细,View order details,查看各订单签到明细,View order details
fan.view_rules,fan,规则与比例,Rules & Ratios,规则与比例,Rules & Ratios
fancenter.leather_bag,fancenter,Leather Bag,Leather Bag,Leather Bag,Leather Bag
fancenter.mechanical_watch,fancenter,Mechanical Watch,Mechanical Watch,Mechanical Watch,Mechanical Watch
fancenter.wireless_earbuds,fancenter,Wireless Earbuds,Wireless Earbuds,Wireless Earbuds,Wireless Earbuds
feed.comment_placeholder,feed,添加评论...,A comment...,添加评论...,A comment...
feed.crop_1_1,feed,裁剪 1:1,Cutting 1:1,裁剪 1:1,Cutting 1:1
feed.my_feeds,feed,我的动态,My activity,我的动态,My activity
feed.post_action,feed,发布,Go,发布,Go
feed.post_placeholder,feed,说点什么吧...,Say something...,说点什么吧...,Say something...
feed.post_title,feed,发布动态,Posting updates,发布动态,Posting updates
feed.record_video,feed,录视频,Video,录视频,Video
feed.reply,feed,回复,Reply,回复,Reply
feed.sync_shopify,feed,同步至 Shopify...,Link to Shopify...,同步至 Shopify...,Link to Shopify...
feed.upload,feed,上传,Upload,上传,Upload
feed.upload_photo,feed,拍照,Photograph,拍照,Photograph
feed.write_reply,feed,写下你的回复...,Write your reply...,写下你的回复...,Write your reply...
groupbuy.earned_rewards,groupbuy,累计获得奖励,Earned Rewards,累计获得奖励,Earned Rewards
groupbuy.invitation_timeline,groupbuy,邀请时间轴,Invitation Timeline,邀请时间轴,Invitation Timeline
groupbuy.rules_safety,groupbuy,规则与安全,Rules & Safety,规则与安全,Rules & Safety
groupbuydetail.available_slot,groupbuydetail,名额,Available Slot,名额,Available Slot
groupbuydetail.david_wilson,groupbuydetail,David Wilson,David Wilson,David Wilson,David Wilson
groupbuydetail.elena_rodriguez,groupbuydetail,Elena Rodriguez,Elena Rodriguez,Elena Rodriguez,Elena Rodriguez
groupbuydetail.empty,groupbuydetail,empty,empty,empty,empty
groupbuydetail.mike_johnson,groupbuydetail,Mike Johnson,Mike Johnson,Mike Johnson,Mike Johnson
groupbuydetail.pending,groupbuydetail,pending,pending,pending,pending
groupbuydetail.sarah_chen,groupbuydetail,Sarah Chen,Sarah Chen,Sarah Chen,Sarah Chen
groupbuydetail.settled,groupbuydetail,settled,settled,settled,settled
groupbuydetail.verified,groupbuydetail,Verified,Verified,Verified,Verified
groupbuydetail.waiting_for_delivery,groupbuydetail,派送中,Waiting for Delivery,派送中,Waiting for Delivery
groupbuydetail.waiting_for_join,groupbuydetail,等待加入...,Waiting for join...,等待加入...,Waiting for join...
influencer.apply_desc,influencer,加入我们的全球创作生态，分享好物，赚取丰厚回报,Join our global ecosystem， share great finds， and earn rewards.,加入我们的全球创作生态，分享好物，赚取丰厚回报,Join our global ecosystem， share great finds， and earn rewards.
influencer.apply_title,influencer,申请成为达人,Apply for Influencer,申请成为达人,Apply for Influencer
influencer.back_to_center,influencer,返回中心,Back to Center,返回中心,Back to Center
influencer.followers_label,influencer,粉丝数量 / 社群规模,Followers / Community Size,粉丝数量 / 社群规模,Followers / Community Size
influencer.followers_placeholder,influencer,例如: 50K+ 或 5000人活跃群组,e.g. 50K+ or 5000 active members,例如: 50K+ 或 5000人活跃群组,e.g. 50K+ or 5000 active members
influencer.intro_label,influencer,简单的自我介绍 / 案例链接,Introduction / Links,简单的自我介绍 / 案例链接,Introduction / Links
influencer.intro_placeholder,influencer,分享一下你的推广经验...,Share your experience...,分享一下你的推广经验...,Share your experience...
influencer.label,influencer,达人入住,Influencer,达人入住,Influencer
influencer.main_platform,influencer,主要推广平台,Primary Platform,主要推广平台,Primary Platform
influencer.niche_beauty,influencer,美妆护肤,Beauty,美妆护肤,Beauty
influencer.niche_fashion,influencer,服饰配件,Fashion,服饰配件,Fashion
influencer.niche_home,influencer,家居生活,Home,家居生活,Home
influencer.niche_label,influencer,擅长领域 (选填),Niche (Optional),擅长领域 (选填),Niche (Optional)
influencer.niche_other,influencer,其他 +,Other +,其他 +,Other +
influencer.niche_pets,influencer,宠物用品,Pets,宠物用品,Pets
influencer.niche_sports,influencer,户外运动,Sports,户外运动,Sports
influencer.niche_tech,influencer,数码科技,Tech,数码科技,Tech
influencer.other_niche_placeholder,influencer,请输入你擅长的其他领域,Enter niche...,请输入你擅长的其他领域,Enter niche...
influencer.other_platform_placeholder,influencer,请输入你擅长的其他平台名称,Enter platform name...,请输入你擅长的其他平台名称,Enter platform name...
influencer.perk_badge,influencer,专属标识,Official Badge,专属标识,Official Badge
influencer.perk_badge_desc,influencer,展示“Verified Influencer”官方认证,"Display ""Verified Influencer"" official badge",展示“Verified Influencer”官方认证,"Display ""Verified Influencer"" official badge"
influencer.perk_commission,influencer,专属高佣,Exclusive Commission,专属高佣,Exclusive Commission
influencer.perk_commission_desc,influencer,享受 5% - 20% 的商品分销奖励,Enjoy 5% - 20% referral rewards on products,享受 5% - 20% 的商品分销奖励,Enjoy 5% - 20% referral rewards on products
influencer.perk_negotiation,influencer,谈判商议,Negotiation Power,谈判商议,Negotiation Power
influencer.perk_negotiation_desc,influencer,可直接获得阶梯奖励,Directly negotiate tiered rewards with merchants,可直接获得阶梯奖励,Directly negotiate tiered rewards with merchants
influencer.perk_traffic,influencer,流量扶持,Traffic Support,流量扶持,Traffic Support
influencer.perk_traffic_desc,influencer,平台优质内容优先推荐，快速涨粉,Priority recommendation for quality content,平台优质内容优先推荐，快速涨粉,Priority recommendation for quality content
influencer.review_tip_desc,influencer,你可以主动 @AI管家 并发送你的申请编号，或者直接向管家展示你的推广案例，可以加快审核进度。,You can @AI_Butler with your ID or show cases to speed up the process.,你可以主动 @AI管家 并发送你的申请编号，或者直接向管家展示你的推广案例，可以加快审核进度。,You can @AI_Butler with your ID or show cases to speed up the process.
influencer.review_tip_title,influencer,审核建议,Review Tip,审核建议,Review Tip
influencer.secure_payments,influencer,支付安全保障,Secure Payments,支付安全保障,Secure Payments
influencer.start_apply,influencer,立即开启申请,Start Application,立即开启申请,Start Application
influencer.submit_apply,influencer,提交申请,Submit Application,提交申请,Submit Application
influencer.submitted_desc,influencer,我们的运营团队将在 24-48小时 内审核你的申请。通过后你将收到 AI 管家的通知，并解锁专属达人面板。,Our team will review your application within 24-48h. You will be notified by AI Butler.,我们的运营团队将在 24-48小时 内审核你的申请。通过后你将收到 AI 管家的通知，并解锁专属达人面板。,Our team will review your application within 24-48h. You will be notified by AI Butler.
influencer.submitted_title,influencer,申请已提交！,Submitted!,申请已提交！,Submitted!
influencer.verified_creator,influencer,已验证创作者,Verified Creator,已验证创作者,Verified Creator
keyattributes.0_5w,keyattributes,0-5W,0-5W,0-5W,0-5W
keyattributes.1000_2000mah_1200mah,keyattributes,1000-2000mah， 1200mAh,1000-2000mah， 1200mAh,1000-2000mah， 1200mAh,1000-2000mah， 1200mAh
keyattributes.16_16_10cm,keyattributes,16*16*10cm,16*16*10cm,16*16*10cm,16*16*10cm
keyattributes.airplay_dlna_dolby_digita_ezca,keyattributes,AirPlay， DLNA， Dolby Digita， EZCast， Miracast， Phone Function， Video Call， Wireless Charger for Mobile Phone,AirPlay， DLNA， Dolby Digita， EZCast， Miracast， Phone Function， Video Call， Wireless Charger for Mobile Phone,AirPlay， DLNA， Dolby Digita， EZCast， Miracast， Phone Function， Video Call， Wireless Charger for Mobile Phone,AirPlay， DLNA， Dolby Digita， EZCast， Miracast， Phone Function， Video Call， Wireless Charger for Mobile Phone
keyattributes.audio_crossover,keyattributes,Audio Crossover,Audio Crossover,Audio Crossover,Audio Crossover
keyattributes.bamboo,keyattributes,Bamboo,Bamboo,Bamboo,Bamboo
keyattributes.battery_capacity,keyattributes,Battery Capacity,Battery Capacity,Battery Capacity,Battery Capacity
keyattributes.built_in_microphone,keyattributes,Built-in Microphone,Built-in Microphone,Built-in Microphone,Built-in Microphone
keyattributes.channels,keyattributes,Channels,Channels,Channels,Channels
keyattributes.computer_home_theatre_karaoke,keyattributes,Computer， HOME THEATRE， Karaoke Player， Outdoor， Party， Portable Audio Player， Stage， mobile phone,Computer， HOME THEATRE， Karaoke Player， Outdoor， Party， Portable Audio Player， Stage， mobile phone,Computer， HOME THEATRE， Karaoke Player， Outdoor， Party， Portable Audio Player， Stage， mobile phone,Computer， HOME THEATRE， Karaoke Player， Outdoor， Party， Portable Audio Player， Stage， mobile phone
keyattributes.feature,keyattributes,Feature,Feature,Feature,Feature
keyattributes.material,keyattributes,Material,Material,Material,Material
keyattributes.no,keyattributes,No,No,No,No
keyattributes.number_of_loudspeaker_enclosur,keyattributes,Number Of Loudspeaker Enclosure,Number Of Loudspeaker Enclosure,Number Of Loudspeaker Enclosure,Number Of Loudspeaker Enclosure
keyattributes.output_power,keyattributes,Output Power,Output Power,Output Power,Output Power
keyattributes.portable_bt_speaker,keyattributes,Portable BT Speaker,Portable BT Speaker,Portable BT Speaker,Portable BT Speaker
keyattributes.product_name,keyattributes,Product Name,Product Name,Product Name,Product Name
keyattributes.remote_control,keyattributes,Remote Control,Remote Control,Remote Control,Remote Control
keyattributes.size,keyattributes,Size,Size,Size,Size
keyattributes.tweeter_size,keyattributes,Tweeter Size,Tweeter Size,Tweeter Size,Tweeter Size
keyattributes.two_way,keyattributes,Two-way,Two-way,Two-way,Two-way
keyattributes.use,keyattributes,Use,Use,Use,Use
keyattributes.voice_control,keyattributes,Voice Control,Voice Control,Voice Control,Voice Control
keyattributes.yes,keyattributes,Yes,Yes,Yes,Yes
keyattributesdrawer.1_1,keyattributesdrawer,"1.1""","1.1""","1.1""","1.1"""
keyattributesdrawer.2,keyattributesdrawer,2,2,2,2
leaderboard.alex_m,leaderboard,Alex M.,Alex M.,Alex M.,Alex M.
leaderboard.beautybyjess,leaderboard,BeautyByJess,BeautyByJess,BeautyByJess,BeautyByJess
leaderboard.david_w,leaderboard,David W.,David W.,David W.,David W.
leaderboard.emily_r,leaderboard,Emily R.,Emily R.,Emily R.,Emily R.
leaderboard.global_ranking,leaderboard,Global Ranking,Global Ranking,Global Ranking,Global Ranking
leaderboard.global_users,leaderboard,Global Users,Global Users,Global Users,Global Users
leaderboard.homedecordaily,leaderboard,HomeDecorDaily,HomeDecorDaily,HomeDecorDaily,HomeDecorDaily
leaderboard.load_more_rankings,leaderboard,Load More Rankings,Load More Rankings,Load More Rankings,Load More Rankings
leaderboard.michael_b,leaderboard,Michael B.,Michael B.,Michael B.,Michael B.
leaderboard.my_rank,leaderboard,My Rank,My Rank,My Rank,My Rank
leaderboard.sarah_k,leaderboard,Sarah K.,Sarah K.,Sarah K.,Sarah K.
leaderboard.techinsider,leaderboard,TechInsider,TechInsider,TechInsider,TechInsider
leaderboard.top_earners,leaderboard,Top Earners,Top Earners,Top Earners,Top Earners
leaderboard.top_influencers,leaderboard,Top Influencers,Top Influencers,Top Influencers,Top Influencers
lounge.0buck_must_buy_list,lounge,# 0Buck Must-Buy List,# 0Buck Must-Buy List,# 0Buck Must-Buy List,# 0Buck Must-Buy List
lounge.add_friend,lounge,添加好友,Add Friends,添加好友,Add Friends
lounge.ai_butler,lounge,AI 管家,AI Butler,AI 管家,AI Butler
lounge.alex_design,lounge,Alex Design,Alex Design,Alex Design,Alex Design
lounge.contact_note_old_friend,lounge,老友,Old friend,老友,Old friend
lounge.contact_note_recent_chat,lounge,最近聊天,Recent chat,最近聊天,Recent chat
lounge.cta_join_official_ads_group,lounge,进入官方广告群,Join official ads group,进入官方广告群,Join official ads group
lounge.cta_join_official_feed_group,lounge,进入官方动态群,Join official feed group,进入官方动态群,Join official feed group
lounge.cta_join_official_group,lounge,进入官方群讨论,Join official group discussion,进入官方群讨论,Join official group discussion
lounge.digital_enthusiasts_lounge,lounge,沙龙,Lounge,沙龙,Lounge
lounge.discovery.activity.creator_selection_live,lounge,达人选品直播,Creator selection live,达人选品直播,Creator selection live
lounge.discovery.activity.creator_selection_live_desc,lounge,直播通知与互动问题进入官方群交流,Join official groups for live notices and Q and A.,直播通知与互动问题进入官方群交流,Join official groups for live notices and Q and A.
lounge.discovery.activity.official_promo_daily,lounge,官方推介日报,Official promo daily,官方推介日报,Official promo daily
lounge.discovery.activity.official_promo_daily_desc,lounge,推介内容统一在官方推介群展开,Promo content is coordinated in the official promo group.,推介内容统一在官方推介群展开,Promo content is coordinated in the official promo group.
lounge.discovery.activity.weekly_groupbuy_night,lounge,本周沙龙拼团夜,Weekly lounge group-buy night,本周沙龙拼团夜,Weekly lounge group-buy night
lounge.discovery.activity.weekly_groupbuy_night_desc,lounge,活动都在官方群内发布与讨论,All event announcements and discussions are in official groups.,活动都在官方群内发布与讨论,All event announcements and discussions are in official groups.
lounge.discovery.ads.brand_collab_slots,lounge,品牌联名资源位,Brand collaboration slots,品牌联名资源位,Brand collaboration slots
lounge.discovery.ads.brand_collab_slots_desc,lounge,品牌联名曝光资源位排期与合作说明,Brand collaboration exposure slots schedule and partnership notes.,品牌联名曝光资源位排期与合作说明,Brand collaboration exposure slots schedule and partnership notes.
lounge.discovery.ads.creator_whitelist,lounge,达人投放白名单,Creator ad whitelist,达人投放白名单,Creator ad whitelist
lounge.discovery.ads.creator_whitelist_desc,lounge,高转化达人名单与投放建议同步,High-conversion creator list and placement suggestions synced.,高转化达人名单与投放建议同步,High-conversion creator list and placement suggestions synced.
lounge.discovery.feed.today_highlights,lounge,今日动态精选,Today highlights,今日动态精选,Today highlights
lounge.discovery.feed.today_highlights_desc,lounge,官方精选动态与高质量讨论入口,Official highlights and high-quality discussion entry.,官方精选动态与高质量讨论入口,Official highlights and high-quality discussion entry.
lounge.discovery.feed.topic_trend_board,lounge,话题趋势看板,Topic trend board,话题趋势看板,Topic trend board
lounge.discovery.feed.topic_trend_board_desc,lounge,全站动态热词趋势与互动建议,Site-wide hot topics trends and engagement suggestions.,全站动态热词趋势与互动建议,Site-wide hot topics trends and engagement suggestions.
lounge.find_new_friends,lounge,发现新好友,Discover new friends,发现新好友,Discover new friends
lounge.find_new_friends_subtitle,lounge,找人加好友扩展通讯录,Find people add friends and grow contacts,找人加好友扩展通讯录,Find people add friends and grow contacts
lounge.friend_mgmt,lounge,好友通讯录,Friends Contacts,好友通讯录,Friends Contacts
lounge.geek_hardware_group,lounge,Geek Hardware Group,Geek Hardware Group,Geek Hardware Group,Geek Hardware Group
lounge.more_actions,lounge,更多操作,More,更多操作,More
lounge.msg_camping_gear,lounge,露营装备上新，来看看吧。,New camping gear is in—take a look?,露营装备上新，来看看吧。,New camping gear is in—take a look?
lounge.msg_dumbo_headphones,lounge,Dumbo 头戴耳机开箱：降噪效果很强。,Dumbo headphones unboxing: strong noise canceling.,Dumbo 头戴耳机开箱：降噪效果很强。,Dumbo headphones unboxing: strong noise canceling.
lounge.msg_official_content_update,lounge,官方内容更新,Official updates,官方内容更新,Official updates
lounge.msg_package_delivered,lounge,您的包裹已签收完成,Your package has been delivered.,您的包裹已签收完成,Your package has been delivered.
lounge.msg_phase_reward,lounge,签到返现进度已进入下一阶段,Your cashback check-in progress has moved to the next stage.,签到返现进度已进入下一阶段,Your cashback check-in progress has moved to the next stage.
lounge.new_friends_subtitle,lounge,同意或拒绝新好友申请,Accept or decline new friend requests,同意或拒绝新好友申请,Accept or decline new friend requests
lounge.official,lounge,官方播报,Official broadcast,官方播报,Official broadcast
lounge.official_activity_group,lounge,官方活动群,Official Activity Group,官方活动群,Official Activity Group
lounge.official_ads_group,lounge,官方广告群,Official Ads Group,官方广告群,Official Ads Group
lounge.official_feed_group,lounge,官方动态群,Official Feed Group,官方动态群,Official Feed Group
lounge.official_label,lounge,官方,OFFICIAL,官方,OFFICIAL
lounge.official_promo_group,lounge,官方推介群,Official Promo Group,官方推介群,Official Promo Group
lounge.order_helper,lounge,物流助手,Logistics Assistant,物流助手,Logistics Assistant
lounge.restore_hidden_groups,lounge,恢复隐藏群,Restore hidden groups,恢复隐藏群,Restore hidden groups
lounge.scan,lounge,扫一扫,Scan,扫一扫,Scan
lounge.search_placeholder,lounge,搜索 ID、Email、群组...,"Search by User ID, Email, Group...",搜索 ID、Email、群组...,"Search by User ID, Email, Group..."
lounge.search_results,lounge,搜索结果,Search results,搜索结果,Search results
lounge.section_activity,lounge,活动,Activity,活动,Activity
lounge.section_ads,lounge,广告,Ads,广告,Ads
lounge.section_feed,lounge,动态,Feed,动态,Feed
lounge.section_official_groups,lounge,官方群,Official Groups,官方群,Official Groups
lounge.section_personal_chats,lounge,个人会话,Personal Chats,个人会话,Personal Chats
lounge.start_group,lounge,发起群聊,Start a group,发起群聊,Start a group
lounge.status.hot,lounge,热门,Hot,热门,Hot
lounge.status.live,lounge,进行中,Live,进行中,Live
lounge.status.open,lounge,开放中,Open,开放中,Open
lounge.status.rolling_update,lounge,滚动更新,Rolling update,滚动更新,Rolling update
lounge.status.starting_soon,lounge,即将开始,Starting soon,即将开始,Starting soon
lounge.status.trending,lounge,热议,Trending,热议,Trending
lounge.status.updating,lounge,更新中,Updating,更新中,Updating
lounge.tab_chat,lounge,聊天,Chat,聊天,Chat
lounge.tab_contacts,lounge,通讯录,Contacts,通讯录,Contacts
lounge.tab_discover,lounge,发现,Discover,发现,Discover
lounge.tech_expert,lounge,Tech_Expert,Tech_Expert,Tech_Expert,Tech_Expert
lounge.time.daily,lounge,每日,Daily,每日,Daily
lounge.time.friday_1900,lounge,周五 19:00,Friday 19:00,周五 19:00,Friday 19:00
lounge.time.hourly,lounge,每小时,Hourly,每小时,Hourly
lounge.time.this_week,lounge,本周,This week,本周,This week
lounge.time.today,lounge,今日,Today,今日,Today
lounge.time.tonight_2030,lounge,今晚 20:30,Tonight 20:30,今晚 20:30,Tonight 20:30
loungedrawer.official,loungedrawer,OFFICIAL,OFFICIAL,OFFICIAL,OFFICIAL
magicpocketmenu.24_7_ai_human,magicpocketmenu,24/7 AI + Human,24/7 AI + Human,24/7 AI + Human,24/7 AI + Human
me.coupons_benefits,me,卡券与权益,Coupons & Benefits,卡券与权益,Coupons & Benefits
me.dumbo_user,me,User,User,User,User
me.fans_cashback,me,粉丝与签到,Fans & CheckIn,粉丝与签到,Fans & CheckIn
me.kol,me,KOL,KOL,KOL,KOL
me.my_orders,me,我的订单,Orders,我的订单,Orders
me.new,me,New,New,New,New
me.refund_after_sales,me,退款/售后,Refund/Service,退款/售后,Refund/Service
me.shipping_address,me,收货地址,Address,收货地址,Address
me.to_pay,me,待付款,To Pay,待付款,To Pay
me.to_receive,me,待收货,To Receive,待收货,To Receive
me.to_ship,me,待发货,To Ship,待发货,To Ship
me.user_avatar,me,User Avatar,User Avatar,User Avatar,User Avatar
me.wallet_points,me,钱包与积分,Wallet & Points,钱包与积分,Wallet & Points
myfeeds.check_out_the_unboxing_of_my_n,myfeeds,Check out the unboxing of my new smart speaker. The sound quality is shocking! 🔊📽️,Check out the unboxing of my new smart speaker. The sound quality is shocking! 🔊📽️,Check out the unboxing of my new smart speaker. The sound quality is shocking! 🔊📽️,Check out the unboxing of my new smart speaker. The sound quality is shocking! 🔊📽️
myfeeds.feed,myfeeds,feed,feed,feed,feed
myfeeds.finally_got_my_iphone_15_pro_f,myfeeds,Finally got my iPhone 15 Pro from 0Buck! This titanium texture is incredible， and with 100% cashback， it'，,Finally got my iPhone 15 Pro from 0Buck! This titanium texture is incredible， and with 100% cashback， it'，,Finally got my iPhone 15 Pro from 0Buck! This titanium texture is incredible， and with 100% cashback， it'，,Finally got my iPhone 15 Pro from 0Buck! This titanium texture is incredible， and with 100% cashback， it'，
myfeeds.new_mechanical_keyboard_arrive,myfeeds,New mechanical keyboard arrived. The typing feel is unmatched. 0Buck selection is top-notch. ⌨️✨,New mechanical keyboard arrived. The typing feel is unmatched. 0Buck selection is top-notch. ⌨️✨,New mechanical keyboard arrived. The typing feel is unmatched. 0Buck selection is top-notch. ⌨️✨,New mechanical keyboard arrived. The typing feel is unmatched. 0Buck selection is top-notch. ⌨️✨
myfeeds.preview,myfeeds,preview,preview,preview,preview
myfeeds.video_cover,myfeeds,Video Cover,Video Cover,Video Cover,Video Cover
myfeedsdrawer.finally_got_my_iphone_15_pro_f,myfeedsdrawer,"Finally got my iPhone 15 Pro from 0Buck! This titanium texture is incredible， and with 100% cashback， it\`,nickname:","Finally got my iPhone 15 Pro from 0Buck! This titanium texture is incredible， and with 100% cashback， it\`,nickname:","Finally got my iPhone 15 Pro from 0Buck! This titanium texture is incredible， and with 100% cashback， it\`,nickname:","Finally got my iPhone 15 Pro from 0Buck! This titanium texture is incredible， and with 100% cashback， it\`,nickname:"
notification.0buck_geek_week,notification,0Buck Geek Week,0Buck Geek Week,0Buck Geek Week,0Buck Geek Week
notification.85_funded_production_starting,notification,85% funded， production starting soon,85% funded， production starting soon,85% funded， production starting soon,85% funded， production starting soon
notification.accept,notification,接受,Accept,接受,Accept
notification.accepted,notification,已接受好友申请,Accepted,已接受好友申请,Accepted
notification.comment,notification,新增评论,New comments,新增评论,New comments
notification.content,notification,邀请内容：,Invitation details:,邀请内容：,Invitation details:
notification.customer_reply,notification,客服支持,Support,客服支持,Support
notification.dear_user_the_card_can_be_used,notification,Dear user， the card can be used within 5 days...,Dear user， the card can be used within 5 days...,Dear user， the card can be used within 5 days...,Dear user， the card can be used within 5 days...
notification.ergonomic_aluminum_laptop_stan,notification,Ergonomic Aluminum Laptop Stand,Ergonomic Aluminum Laptop Stand,Ergonomic Aluminum Laptop Stand,Ergonomic Aluminum Laptop Stand
notification.event_desc,notification,点击查看详情，抢先预约！,Click to view details and book now!,点击查看详情，抢先预约！,Click to view details and book now!
notification.friend_request,notification,好友申请,Friend Request,好友申请,Friend Request
notification.hey_i_am_your_fan_i_love_your,notification,Hey， I am your fan， I love your geek finds! Hope to connect.,Hey， I am your fan， I love your geek finds! Hope to connect.,Hey， I am your fan， I love your geek finds! Hope to connect.,Hey， I am your fan， I love your geek finds! Hope to connect.
notification.ignore,notification,忽略,Neglect,忽略,Neglect
notification.ignored,notification,已忽略,Ignored,已忽略,Ignored
notification.inviter,notification,邀请人：,Inviter:,邀请人：,Inviter:
notification.love_this_titanium_design,notification,Love this titanium design!,Love this titanium design!,Love this titanium design!,Love this titanium design!
notification.low_stock_alert,notification,Low stock alert,Low stock alert,Low stock alert,Low stock alert
notification.minimalist_titanium_mechanical,notification,Minimalist Titanium Mechanical Watch,Minimalist Titanium Mechanical Watch,Minimalist Titanium Mechanical Watch,Minimalist Titanium Mechanical Watch
notification.my_new_titanium_watch_collecti,notification,My new titanium watch collection...,My new titanium watch collection...,My new titanium watch collection...,My new titanium watch collection...
notification.ord_20260409_77x,notification,ORD-20260409-77X,ORD-20260409-77X,ORD-20260409-77X,ORD-20260409-77X
notification.order_status,notification,订单状态变更,Order status change,订单状态变更,Order status change
notification.payment_success,notification,支付成功通知,Payment successful,支付成功通知,Payment successful
notification.platform_event,notification,限时活动,Limited-time event,限时活动,Limited-time event
notification.quick_reply,notification,快捷回复,Reply,快捷回复,Reply
notification.replied,notification,已快速回复,Reply received,已快速回复,Reply received
notification.reply_placeholder,notification,输入回复内容...,Enter your reply...,输入回复内容...,Enter your reply...
notification.restock,notification,到货通知,Arrival Notice,到货通知,Arrival Notice
notification.sitewide_100_back_extra_points,notification,购物签到全返+赠送积分,Shopping check-in for full refund + bonus points,购物签到全返+赠送积分,Shopping check-in for full refund + bonus points
notification.tech_enthusiast_99,notification,Tech_Enthusiast_99,Tech_Enthusiast_99,Tech_Enthusiast_99,Tech_Enthusiast_99
notification.usage_of_cashback_card,notification,Usage of Cashback Card,Usage of Cashback Card,Usage of Cashback Card,Usage of Cashback Card
notification.wishlist,notification,愿望清单更新,Wish list update,愿望清单更新,Wish list update
notification.yt9988776655,notification,YT9988776655,YT9988776655,YT9988776655,YT9988776655
notification.yunexpress,notification,YunExpress,YunExpress,YunExpress,YunExpress
notificationdrawer.29_99,notificationdrawer,$29.99,$29.99,$29.99,$29.99
notificationdrawer.accepted,notificationdrawer,accepted,accepted,accepted,accepted
order.after_sales,order,售后服务,After-sales,售后服务,After-sales
order.available_slot,order,Available Slot,Available Slot,Available Slot,Available Slot
order.completed,order,已签收,Delivered,已签收,Delivered
order.confirm_rebate_note,order,确认收货后开启返现,Confirm receipt to start 100% BACK early!,确认收货后开启返现,Confirm receipt to start 100% BACK early!
order.confirm_receipt,order,确认收货,Confirm Receipt,确认收货,Confirm Receipt
order.copy_item_link,order,复制商品链接,Copy Item Link,复制商品链接,Copy Item Link
order.discounts,order,折扣,Discounts,折扣,Discounts
order.earned,order,已赚,EARNED,已赚,EARNED
order.earned_rewards,order,Earned Rewards,Earned Rewards,Earned Rewards,Earned Rewards
order.expected_arrival,order,预计送达时间,Expected Arrival,预计送达时间,Expected Arrival
order.expired_status,order,已失效,EXPIRED,已失效,EXPIRED
order.forfeited,order,已作废,FORFEITED,已作废,FORFEITED
order.free_earned,order,件已免单,FREE EARNED,件已免单,FREE EARNED
order.free_shipping,order,免运费,FREE,免运费,FREE
order.friends_joined,order,Friends Joined,Friends Joined,Friends Joined,Friends Joined
order.id_prefix,order,订单 #,Order #,订单 #,Order #
order.invitation_timeline,order,Invitation Timeline,Invitation Timeline,Invitation Timeline,Invitation Timeline
order.invite_3_get_1_free,order,每邀 3 人，再免 1 件,Invite 3， Get 1 Free,每邀 3 人，再免 1 件,Invite 3， Get 1 Free
order.invites_label,order,已邀:,INVITES:,已邀:,INVITES:
order.items_unit,order,件,ITEMS,件,ITEMS
order.next_reward_at,order,下期奖励:,Next Reward at,下期奖励:,Next Reward at
order.next_settlement,order,下期结算:,Next Settlement:,下期结算:,Next Settlement:
order.order_items,order,订单商品,Order Items,订单商品,Order Items
order.order_number,order,订单编号,Order Number,订单编号,Order Number
order.order_time,order,下单时间,Order Time,下单时间,Order Time
order.package_in_transit,order,运输中,Package in Transit,运输中,Package in Transit
order.payment_method,order,支付方式,Payment Method,支付方式,Payment Method
